Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7758898,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",4752225,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"It Ain't Me (with Selena Gomez)",Kygo,4636834,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4271609,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",3993347,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3864731,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"Scared to Be Lonely","Martin Garrix",3389816,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
8,"Chained To The Rhythm","Katy Perry",3277634,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
9,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2849307,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
10,"Castle on the Hill","Ed Sheeran",2794858,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
11,Issues,"Julia Michaels",2649725,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
12,"I Feel It Coming","The Weeknd",2644758,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,Starboy,"The Weeknd",2451224,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
14,Closer,"The Chainsmokers",2428997,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
15,"Call On Me - Ryan Riback Extended Remix",Starley,2416398,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
16,"Say You Won't Let Go","James Arthur",2393399,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
17,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,2239203,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
18,Believer,"Imagine Dragons",2203215,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
19,"That's What I Like","Bruno Mars",2182349,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
20,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",2089333,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
21,Cold,"Maroon 5",2043453,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
22,Chantaje,Shakira,1993278,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
23,"How Far I'll Go - From ""Moana""","Alessia Cara",1922493,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
24,"Just Hold On","Steve Aoki",1902476,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
25,"iSpy (feat. Lil Yachty)",KYLE,1846532,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
26,Slide,"Calvin Harris",1832407,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
27,"Bad Things (with Camila Cabello)","Machine Gun Kelly",1822475,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
28,"Solo Dance","Martin Jensen",1797288,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
29,Weak,AJR,1774974,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
30,"Don't Wanna Know","Maroon 5",1746442,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
31,"Let Me Love You","DJ Snake",1726123,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
32,"All Night","The Vamps",1681888,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
33,"Fake Love",Drake,1680903,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
34,"Bounce Back","Big Sean",1665436,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
35,"All Time Low","Jon Bellion",1660027,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
36,"24K Magic","Bruno Mars",1648842,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
37,"Stay (with Alessia Cara)",Zedd,1618965,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
38,"El Amante","Nicky Jam",1569091,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
39,"One Dance",Drake,1542990,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
40,Love,"Lana Del Rey",1497228,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
41,"Shed a Light","Robin Schulz",1471467,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
42,"Reggaetón Lento (Bailemos)",CNCO,1465110,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
43,Congratulations,"Post Malone",1412382,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
44,"Don't Leave",Snakehips,1392441,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
45,"Hear Me Now",Alok,1386610,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
46,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1336958,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
47,"In the Name of Love","Martin Garrix",1315226,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
48,"Now and Later","Sage The Gemini",1278647,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
49,"How Would You Feel (Paean)","Ed Sheeran",1258728,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN
50,"Side To Side","Ariana Grande",1241153,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
51,T-Shirt,Migos,1227517,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
52,"You Don't Know Me - Radio Edit","Jax Jones",1181000,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
53,"I Would Like","Zara Larsson",1171139,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
54,"My Way","Calvin Harris",1160542,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
55,"Black Beatles","Rae Sremmurd",1093651,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
56,"I Got You","Bebe Rexha",1077712,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
57,"Otra Vez (feat. J Balvin)","Zion & Lennox",1057251,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
58,"Sunset Lover","Petit Biscuit",1027010,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
59,Starving,"Hailee Steinfeld",1016169,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
60,"Mask Off",Future,1001982,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
61,"Tunnel Vision","Kodak Black",989922,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
62,Human,"Rag'n'Bone Man",988128,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
63,Alone,"Alan Walker",972201,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
